PARAM,AVG_TIME,RUN,FAILED
10,471.300,1,0
10,357.768,2,0
10,351.274,3,0
100,360.752,1,0
100,367.827,2,0
100,368.938,3,0
1000,9379.678,1,0
1000,7061.419,2,0
1000,7609.444,3,0
