PARAM,AVG_TIME,RUN,FAILED
10,455.949,1,0
10,385.283,2,0
10,378.086,3,0
50,4516.119,1,0
50,2248.187,2,0
50,2077.010,3,0
100,4063.469,1,0
100,4042.481,2,0
100,4249.732,3,0
