PARAM,AVG_TIME,RUN,FAILED
1,44.539ms,1,0
1,41.549ms,2,0
1,42.447ms,3,0
10,150.234ms,1,0
10,135.903ms,2,0
10,129.484ms,3,0
20,191.029ms,1,0
20,178.631ms,2,0
20,207.407ms,3,0
50,402.176ms,1,0
50,366.824ms,2,0
50,374.959ms,3,0
100,851.679ms,1,0
100,479.938ms,2,0
100,305.440ms,3,0
1000,4289.297ms,1,0
1000,2888.659ms,2,0
1000,2703.976ms,3,0
