PARAM,AVG_TIME,RUN,FAILED
10,345.07ms,1,0
10,246.61ms,2,0
10,224.19ms,3,0
100,249.30ms,1,0
100,266.41ms,2,0
100,257.93ms,3,0
1000,719.78ms,1,0
1000,403.17ms,2,0
1000,331.37ms,3,0
